                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.45432,                0.31386,                0.82398,                0.90759,                0.78031,                0.83265,                0.74892,                0.62977,                0.76784,                0.82736,             0.00041517,             0.00041517,             0.00041517
                    154,                0.45073,                0.31578,                0.82098,                0.88474,                0.78428,                0.81108,                0.72517,                0.63571,                0.80084,                0.82915,             0.00041242,             0.00041242,             0.00041242
                    155,                0.45546,                0.31435,                0.82184,                0.88664,                0.78058,                0.81762,                0.73291,                0.62998,                0.87097,                0.82585,             0.00040967,             0.00040967,             0.00040967
                    156,                0.45405,                 0.3089,                0.82203,                0.88947,                0.77702,                0.82018,                0.73033,                0.63374,                0.79591,                0.82872,             0.00040692,             0.00040692,             0.00040692
                    157,                0.45814,                0.31535,                0.82246,                0.91967,                0.78046,                0.82024,                0.71965,                0.62896,                0.89412,                0.82988,             0.00040417,             0.00040417,             0.00040417
                    158,                0.44239,                0.31166,                0.82162,                0.90519,                0.78328,                0.81999,                0.73908,                0.62003,                0.76626,                0.82628,             0.00040142,             0.00040142,             0.00040142
                    159,                0.44623,                0.31829,                0.82078,                0.88517,                0.78965,                0.81542,                0.72842,                0.63025,                0.87488,                0.82995,             0.00039867,             0.00039867,             0.00039867
                    160,                0.44676,                0.31037,                 0.8219,                0.90922,                0.78481,                0.81292,                0.72492,                0.62683,                0.86457,                0.82612,             0.00039592,             0.00039592,             0.00039592
                    161,                 0.4496,                0.30701,                0.82098,                0.87172,                0.79682,                0.80019,                0.70694,                0.62457,                0.87903,                 0.8266,             0.00039318,             0.00039318,             0.00039318
                    162,                0.44416,                0.31711,                0.81852,                0.88735,                0.78214,                0.82021,                0.72377,                0.63007,                0.82377,                0.82779,             0.00039043,             0.00039043,             0.00039043
                    163,                0.45527,                0.31739,                0.82213,                0.90807,                0.76843,                0.80792,                0.71662,                0.62206,                0.83507,                0.82639,             0.00038768,             0.00038768,             0.00038768
                    164,                 0.4416,                0.31666,                0.82056,                0.91331,                0.78724,                0.82615,                0.73937,                0.63349,                0.79274,                0.82717,             0.00038493,             0.00038493,             0.00038493
                    165,                0.44408,                0.30878,                0.82274,                0.88991,                0.78694,                0.81213,                0.72133,                0.62903,                0.86249,                0.82343,             0.00038218,             0.00038218,             0.00038218
                    166,                0.44777,                0.31528,                0.81943,                0.87575,                0.78805,                0.81861,                0.72148,                0.62505,                0.85483,                0.82733,             0.00037943,             0.00037943,             0.00037943
                    167,                0.44619,                0.30218,                0.82072,                0.89944,                0.77851,                0.80906,                0.71575,                0.64904,                0.89633,                0.82995,             0.00037668,             0.00037668,             0.00037668
                    168,                0.44565,                0.30438,                0.82219,                0.88039,                0.76184,                0.80788,                0.71756,                0.63753,                0.80655,                 0.8271,             0.00037393,             0.00037393,             0.00037393
                    169,                0.43777,                 0.3129,                0.81934,                0.89316,                0.78701,                 0.8189,                0.73055,                0.64092,                0.82274,                0.82491,             0.00037118,             0.00037118,             0.00037118
                    170,                0.44437,                0.31331,                0.82207,                0.87422,                0.75316,                0.80638,                0.71772,                0.64395,                0.85404,                0.82722,             0.00036844,             0.00036844,             0.00036844
                    171,                0.45201,                0.31004,                0.81936,                0.89841,                0.77513,                0.81894,                0.73298,                0.62069,                0.77437,                0.82435,             0.00036569,             0.00036569,             0.00036569
                    172,                0.43325,                0.30268,                0.81809,                0.89307,                0.79369,                 0.8166,                0.72844,                0.62943,                0.80622,                0.82419,             0.00036294,             0.00036294,             0.00036294
                    173,                0.43976,                0.30242,                0.82035,                0.90355,                0.78217,                0.83175,                0.74933,                0.62136,                0.77393,                0.82212,             0.00036019,             0.00036019,             0.00036019
                    174,                0.44439,                0.31281,                0.82038,                0.90123,                0.78074,                0.82514,                0.73284,                0.62285,                0.78828,                0.82286,             0.00035744,             0.00035744,             0.00035744
                    175,                0.43678,                0.30602,                0.81547,                0.90357,                0.77919,                0.81087,                0.71808,                0.63164,                0.89074,                0.82657,             0.00035469,             0.00035469,             0.00035469
                    176,                0.43843,                0.30551,                0.81622,                0.88803,                 0.7863,                0.82532,                0.72932,                0.62668,                0.77747,                0.82505,             0.00035194,             0.00035194,             0.00035194
                    177,                0.43908,                0.30281,                0.82152,                0.90556,                 0.7869,                0.82669,                0.73391,                0.62006,                0.81953,                 0.8222,             0.00034919,             0.00034919,             0.00034919
                    178,                0.43794,                0.30195,                  0.819,                0.88658,                0.79899,                0.83826,                0.74925,                0.62321,                0.79579,                0.82478,             0.00034644,             0.00034644,             0.00034644
                    179,                0.44165,                0.30443,                0.82144,                0.91975,                0.75077,                0.81703,                0.73367,                0.62424,                0.82725,                0.82591,              0.0003437,              0.0003437,              0.0003437
