                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56392,                0.41588,                0.84716,                0.89996,                0.75216,                0.85769,                0.74306,                0.64592,                0.80379,                0.82203,             0.00073679,             0.00073679,             0.00073679
                     37,                0.56645,                0.41254,                0.84702,                0.82734,                0.76239,                0.85837,                0.74526,                0.65444,                0.72912,                0.83429,             0.00073404,             0.00073404,             0.00073404
                     38,                0.55402,                 0.4172,                0.84296,                0.86115,                0.76898,                0.85693,                0.73541,                0.64886,                 0.7304,                 0.8286,             0.00073129,             0.00073129,             0.00073129
                     39,                0.55354,                0.41651,                0.84508,                0.89153,                0.74172,                0.83358,                0.71299,                0.65726,                0.70308,                 0.8313,             0.00072854,             0.00072854,             0.00072854
                     40,                0.54938,                 0.4154,                0.84502,                0.89286,                0.78019,                0.84712,                0.74514,                0.64691,                0.71313,                0.83107,             0.00072579,             0.00072579,             0.00072579
                     41,                 0.5412,                0.39971,                0.83935,                0.88662,                0.76684,                0.88414,                0.77004,                0.66025,                0.67138,                0.83034,             0.00072304,             0.00072304,             0.00072304
                     42,                 0.5463,                0.40457,                0.84161,                0.81139,                0.81609,                0.86802,                0.76882,                0.66601,                0.69247,                0.83436,              0.0007203,              0.0007203,              0.0007203
                     43,                0.55465,                0.40857,                0.84723,                0.89591,                0.76309,                0.83126,                0.73132,                0.67902,                0.75579,                0.83119,             0.00071755,             0.00071755,             0.00071755
                     44,                0.54955,                0.40495,                0.84207,                0.90219,                0.76048,                0.86291,                0.75076,                0.65828,                0.66631,                0.82676,              0.0007148,              0.0007148,              0.0007148
                     45,                0.54386,                0.38924,                0.83871,                0.71199,                0.84163,                0.83801,                0.71851,                0.64871,                0.72695,                0.82454,             0.00071205,             0.00071205,             0.00071205
                     46,                0.54119,                0.39559,                0.84647,                0.91341,                0.76324,                0.85008,                0.74171,                 0.6999,                0.68494,                0.83955,              0.0007093,              0.0007093,              0.0007093
                     47,                0.55225,                0.39704,                0.84433,                0.88507,                0.76432,                0.84827,                0.73184,                0.65425,                 0.7946,                0.83046,             0.00070655,             0.00070655,             0.00070655
                     48,                0.53266,                0.38793,                0.84111,                0.89815,                0.77211,                0.86152,                0.73872,                0.65167,                0.72187,                 0.8312,              0.0007038,              0.0007038,              0.0007038
                     49,                0.53142,                0.37821,                 0.8385,                0.84935,                 0.8221,                0.84299,                0.74689,                0.66114,                0.70668,                0.83813,             0.00070105,             0.00070105,             0.00070105
                     50,                  0.549,                0.40054,                0.84392,                0.89233,                0.76342,                0.83317,                0.73064,                0.64804,                0.80273,                0.82752,              0.0006983,              0.0006983,              0.0006983
                     51,                0.53225,                0.38731,                 0.8437,                0.70908,                0.80703,                0.79956,                0.69113,                0.64426,                0.84299,                0.83262,             0.00069556,             0.00069556,             0.00069556
                     52,                0.53347,                 0.3895,                0.84047,                 0.8792,                0.76258,                0.85196,                0.73912,                0.64975,                0.73816,                0.82885,             0.00069281,             0.00069281,             0.00069281
                     53,                0.53496,                0.38554,                0.83664,                0.89494,                0.76515,                0.85548,                0.73427,                 0.6385,                0.65886,                0.82963,             0.00069006,             0.00069006,             0.00069006
                     54,                 0.5331,                0.38524,                0.84128,                0.86675,                0.79432,                0.84298,                0.74836,                0.62746,                0.74798,                0.82416,             0.00068731,             0.00068731,             0.00068731
                     55,                0.54201,                0.39467,                0.84329,                0.88762,                0.75702,                0.81797,                0.70846,                0.63377,                0.76162,                0.82902,             0.00068456,             0.00068456,             0.00068456
                     56,                0.53276,                0.38715,                0.83836,                 0.8758,                0.79993,                0.82295,                0.70855,                0.64858,                0.72723,                0.82908,             0.00068181,             0.00068181,             0.00068181
                     57,                0.52214,                0.38296,                0.83929,                0.87234,                0.78572,                0.83008,                 0.7328,                0.64708,                0.84296,                0.82418,             0.00067906,             0.00067906,             0.00067906
                     58,                0.53425,                0.38197,                0.83799,                0.91693,                0.76732,                0.84548,                0.73576,                0.64578,                0.71412,                0.83061,             0.00067631,             0.00067631,             0.00067631
                     59,                0.53267,                0.38394,                 0.8399,                0.87045,                0.78106,                0.84492,                0.73144,                0.66708,                0.70464,                0.83295,             0.00067356,             0.00067356,             0.00067356
                     60,                0.52725,                0.37998,                0.83769,                0.93321,                0.75367,                0.87799,                0.76333,                0.65701,                0.65617,                0.83215,             0.00067081,             0.00067081,             0.00067081
                     61,                0.52227,                0.37959,                0.83814,                0.87962,                0.78952,                0.82254,                0.72528,                 0.6401,                0.83165,                 0.8295,             0.00066807,             0.00066807,             0.00066807
                     62,                0.52919,                0.37282,                  0.837,                0.89524,                0.79588,                0.82666,                0.72538,                0.63922,                0.80637,                0.82206,             0.00066532,             0.00066532,             0.00066532
                     63,                0.52473,                0.37612,                 0.8396,                0.91406,                  0.754,                0.84159,                0.73003,                0.66381,                0.72993,                0.83476,             0.00066257,             0.00066257,             0.00066257
                     64,                 0.5207,                0.37827,                0.83539,                0.86281,                0.76472,                0.84196,                0.73361,                0.64092,                0.69612,                0.83192,             0.00065982,             0.00065982,             0.00065982
                     65,                0.51801,                0.37289,                0.83975,                0.84978,                0.83257,                0.85063,                 0.7484,                 0.6561,                0.72541,                0.83715,             0.00065707,             0.00065707,             0.00065707
                     66,                 0.5153,                0.36477,                0.83646,                0.90643,                0.77309,                0.82136,                0.72076,                0.65683,                0.87604,                0.83108,             0.00065432,             0.00065432,             0.00065432
                     67,                0.52038,                0.37847,                0.83775,                0.91644,                 0.7688,                0.86967,                0.76058,                 0.6625,                0.71129,                0.84128,             0.00065157,             0.00065157,             0.00065157
                     68,                0.51197,                0.36839,                0.83251,                 0.8879,                0.78785,                0.81878,                0.71912,                0.64059,                0.88437,                0.83039,             0.00064882,             0.00064882,             0.00064882
                     69,                0.51971,                0.37023,                0.83351,                 0.8988,                0.78713,                0.83714,                0.72987,                 0.6619,                0.74208,                0.83227,             0.00064607,             0.00064607,             0.00064607
                     70,                0.51709,                0.36653,                0.83657,                0.90944,                0.76211,                0.82165,                0.71039,                0.65259,                0.79502,                 0.8304,             0.00064333,             0.00064333,             0.00064333
                     71,                0.51611,                0.36479,                0.83411,                0.83657,                0.79462,                0.84495,                0.74805,                0.63333,                0.72393,                0.82405,             0.00064058,             0.00064058,             0.00064058
                     72,                0.51129,                0.36964,                0.83611,                0.88763,                  0.783,                0.83586,                0.72978,                0.64763,                0.71063,                0.83559,             0.00063783,             0.00063783,             0.00063783
                     73,                 0.5105,                0.36544,                0.83325,                 0.8428,                0.84043,                0.86236,                0.76593,                 0.6355,                0.62949,                0.82959,             0.00063508,             0.00063508,             0.00063508
                     74,                0.51602,                0.36639,                0.83701,                 0.9029,                0.77391,                0.83671,                0.73532,                0.63826,                0.73812,                0.83121,             0.00063233,             0.00063233,             0.00063233
                     75,                 0.5119,                0.37395,                0.83432,                0.86835,                0.67536,                0.81368,                0.71884,                0.62199,                0.78478,                0.82512,             0.00062958,             0.00062958,             0.00062958
